timestamp,frameNum,error,gesturePresence,gesture,ktoGesture,gestureFeatures_0,gestureFeatures_1,gestureFeatures_2,gestureFeatures_3,gestureFeatures_4,gestureFeatures_5,gestureFeatures_6,gestureFeatures_7,gestureFeatures_8,gestureFeatures_9,gestureFeatures_10,gestureFeatures_11,gestureFeatures_12,gestureFeatures_13,gestureFeatures_14,gestureFeatures_15,procTimeData_interFrameProcTime,procTimeData_transmitOutTime,powerData_power1v8,powerData_power3v3,powerData_power1v2,powerData_power1v2RF,tempData_tempRx,tempData_tempTx,tempData_tempPM,tempData_tempDIG,presenceThreshold
1756869546204.073,18755,0,1,0,0,31.231609344482422,0.7703866958618164,-34.196163177490234,34.15300369262695,0.0,7.439371109008789,-2.208434820175171,72.92242431640625,32.75068664550781,0.2271488606929779,-0.4413313567638397,-0.15906979143619537,0.5501390099525452,-0.7045029997825623,0.3875284790992737,-1.3237804174423218,5532,2983,1395,0,766,1063,41,44,43,44,0
1756869546233.729,18756,0,1,0,0,31.243743896484375,0.40535101294517517,-34.00373840332031,33.59230041503906,0.0,8.532415390014648,-1.6014171838760376,59.78196334838867,21.84795570373535,0.25956588983535767,-0.49847176671028137,-0.13376055657863617,0.7170079350471497,-0.750602126121521,0.7777243256568909,-1.4473007917404175,5469,2983,1395,0,766,1063,41,44,43,45,0
1756869546278.8943,18757,0,1,0,0,31.24980354309082,1.0902758836746216,-34.328025817871094,33.988285064697266,0.0,10.095855712890625,-0.9001668095588684,21.22935676574707,11.467000007629395,0.22696180641651154,-0.4190607964992523,-0.11896003037691116,1.0633748769760132,-0.7961786389350891,0.8767152428627014,-1.5378049612045288,5371,2983,1395,0,766,1063,41,44,43,45,0
1756869546309.1233,18758,0,1,0,0,31.229413986206055,0.9203701615333557,-34.09672164916992,33.84345245361328,0.0,9.173338890075684,-1.1886742115020752,74.42372131347656,18.063453674316406,0.14091280102729797,-0.3006911277770996,-0.15638665854930878,0.9939787983894348,-0.8117516040802002,0.2661307156085968,-1.0749903917312622,5374,2984,1395,0,766,1063,41,44,43,44,0
1756869546338.8086,18759,0,1,0,0,31.174633026123047,0.7603904008865356,-34.00687789916992,33.71852111816406,0.0,11.425899505615234,-1.0660984516143799,12.955649375915527,25.881336212158203,0.09102801978588104,-0.31361114978790283,-0.29397934675216675,0.8617071509361267,-1.3512660264968872,0.20571541786193848,-1.7115449905395508,5370,2983,1395,0,766,1063,41,44,43,45,0
1756869546383.6182,18760,0,1,0,0,31.233339309692383,0.5829482674598694,-34.3346061706543,33.63578796386719,0.0,8.634264945983887,-3.008615493774414,79.82343292236328,16.700288772583008,0.1410130113363266,-0.20034141838550568,-0.17575694620609283,0.6046069264411926,-1.5916341543197632,0.7054842114448547,-1.6240652799606323,5470,2983,1395,0,766,1063,41,44,43,44,0
1756869546413.6614,18761,0,1,0,0,31.259809494018555,1.113722562789917,-34.50472640991211,34.108036041259766,0.0,8.647795677185059,-0.6618184447288513,53.041229248046875,32.30390930175781,0.1818840503692627,-0.2174803912639618,-0.2292417585849762,0.8688061237335205,-1.6217809915542603,0.37641385197639465,-1.0195603370666504,5520,2983,1395,0,766,1063,41,44,43,45,0
1756869546443.954,18762,0,1,0,0,31.242734909057617,1.0942707061767578,-34.22957992553711,33.931312561035156,0.0,8.95705509185791,-0.7044781446456909,48.8866081237793,17.85894203186035,0.22416482865810394,-0.21353483200073242,-0.3172761797904968,0.6350981593132019,-1.1038585901260376,0.5475316047668457,-1.428833246231079,5388,2983,1395,0,766,1063,41,44,43,45,0
1756869546489.3088,18763,0,1,0,0,31.250364303588867,0.48147761821746826,-33.992557525634766,33.888526916503906,0.0,8.888108253479004,-2.1632838249206543,47.270198822021484,32.21143341064453,0.20791025459766388,-0.16715388000011444,-0.3136526048183441,0.6026902198791504,-0.9859872460365295,0.2865373492240906,-1.1893540620803833,5467,2983,1395,0,766,1063,41,44,43,45,0
1756869546519.3816,18764,0,1,0,0,31.241281509399414,1.1004923582077026,-34.44028854370117,33.838748931884766,0.0,8.757864952087402,-2.451673984527588,67.4346923828125,32.309696197509766,0.19171199202537537,-0.185797780752182,-0.2993163466453552,0.4146795868873596,-0.9374694228172302,0.4506697952747345,-1.6228405237197876,5394,2983,1395,0,766,1063,41,44,43,44,0
